build_up_area,avg._price,floor,age_of_property,furnishing,bhk,address,project_name,price,bathrooms,balcony,link,facing_east_facing,facing_north_facing,facing_north_east_facing,facing_north_west_facing,facing_south_facing,facing_south_east_facing,facing_south_west_facing,facing_west_facing,new_carpet,open_parking,covered_parking,possession_status,sector,coordinates,latitude,longitude
420,761.0,11,2,0,1,"signature global synera, sector 81, gurgaon",Signature Global Synera,320000.0,1.0,1,"https://housing.com//in/buy/resale/page/12002011-1-rk-apartment-in-sector-81-for-rs-320000
",1,0,0,0,0,0,0,0,320.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
200,3500.0,3,10,2,1,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,700000.0,1.0,1,"https://housing.com//in/buy/resale/page/12346356-1-bhk-apartment-in-sector-81-for-rs-700000
",0,0,0,0,0,0,0,0,150.0,2,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
432,6940.0,11,5,1,1,"signature global synera, sector 81, gurgaon",Signature Global Synera,3000000.0,1.0,1,"https://housing.com//in/buy/resale/page/12392652-1-bhk-apartment-in-sector-81-for-rs-3000000
",0,0,1,0,0,0,0,0,336.0,1,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
220,14540.0,3,4,1,1,"signature global synera, sector 81, gurgaon",Signature Global Synera,3200000.0,1.0,1,"https://housing.com//in/buy/resale/page/12504145-1-bhk-apartment-in-sector-81-for-rs-2200000
",0,0,0,0,0,0,0,0,173.95237184059008,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
858,3960.0,4,0,1,1,"landmark the homes 81, sector 81, gurgaon",Landmark The Homes 81,3400000.0,1.0,1,"https://housing.com//in/buy/resale/page/12732100-1-bhk-apartment-in-sector-81-for-rs-3400000
",1,0,0,0,0,0,0,0,678.4142501783012,1,1,2,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
417,8390.0,11,3,2,1,"signature global synera, sector 81, gurgaon",Signature Global Synera,3500000.0,1.0,1,"https://housing.com//in/buy/resale/page/12161605-1-bhk-apartment-in-sector-81-for-rs-3500000
",0,1,0,0,0,0,0,0,320.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
630,6110.0,2,1,0,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,3850000.0,2.0,2,"https://housing.com//in/buy/resale/page/9732217-2-bhk-apartment-in-sector-81-for-rs-3850000
",0,0,1,0,0,0,0,0,540.0,1,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
730,5820.0,7,1,0,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,4250000.0,3.0,2,"https://housing.com//in/buy/resale/page/9732348-3-bhk-apartment-in-sector-81-for-rs-4250000
",0,0,1,0,0,0,0,0,642.0,1,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
685,6280.0,6,2,0,2,"signature global city 81, sector 81, gurgaon",Signature Global City 81,4300000.0,2.0,2,"https://housing.com//in/buy/resale/page/11743221-2-bhk-apartment-in-sector-81-for-rs-4300000
",0,0,1,0,0,0,0,0,530.6379507614461,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
950,4530.0,7,0,0,3,"landmark the homes 81, sector 81, gurgaon",Landmark The Homes 81,4300000.0,3.0,2,"https://housing.com//in/buy/resale/page/10895248-3-bhk-apartment-in-sector-81-for-rs-3700000
",0,0,1,0,0,0,0,0,680.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
750,5870.0,2,0,0,3,"landmark the homes 81, sector 81, gurgaon",Landmark The Homes 81,4400000.0,3.0,3,"https://housing.com//in/buy/resale/page/10827899-3-bhk-apartment-in-sector-81-for-rs-4400000
",0,0,1,0,0,0,0,0,650.0,1,1,2,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
598,7530.0,7,2,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,4500000.0,2.0,1,"https://housing.com//in/buy/resale/page/12644476-2-bhk-apartment-in-sector-81-for-rs-4500000
",0,0,0,1,0,0,0,0,498.0,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
623,7220.0,6,3,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,4500000.0,2.0,1,"https://housing.com//in/buy/resale/page/12697249-2-bhk-apartment-in-sector-81-for-rs-4500000
",0,0,0,0,0,0,0,1,523.0,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1200,3750.0,2,0,1,3,"land mark 81, sector 81, gurgaon",land mark 81,4500000.0,3.0,2,"https://housing.com//in/buy/resale/page/12528312-3-bhk-apartment-in-sector-81-for-rs-4500000
",1,0,0,0,0,0,0,0,980.0,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
659,6980.0,2,3,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,4600000.0,2.0,1,"https://housing.com//in/buy/resale/page/12697447-2-bhk-apartment-in-sector-81-for-rs-4600000
",0,0,0,0,0,0,0,1,559.0,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
800,5810.0,9,0,0,3,"landmark the homes 81, sector 81, gurgaon",Landmark The Homes 81,4650000.0,2.0,3,"https://housing.com//in/buy/resale/page/12589639-3-bhk-apartment-in-sector-81-for-rs-4650000
",0,0,1,0,0,0,0,0,795.0,1,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
950,5050.0,6,0,0,2,"landmark the homes 81, sector 81, gurgaon",Landmark The Homes 81,4800000.0,2.0,2,"https://housing.com//in/buy/resale/page/10895221-2-bhk-apartment-in-sector-81-for-rs-4800000
",0,0,1,0,0,0,0,0,690.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
650,7380.0,7,2,0,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,4800000.0,2.0,1,"https://housing.com//in/buy/resale/page/12565735-2-bhk-apartment-in-sector-81-for-rs-4800000
",0,0,0,0,0,0,0,0,598.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
650,7380.0,7,0,0,2,"gls avenue 81, sector 81, gurgaon",GLS Avenue 81,4800000.0,2.0,2,"https://housing.com//in/buy/resale/page/8312999-2-bhk-apartment-in-sector-81-for-rs-4800000
",0,0,1,0,0,0,0,0,503.5250627663357,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
780,6410.0,3,2,0,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,5000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12492981-3-bhk-apartment-in-sector-81-for-rs-5000000
",0,0,0,0,0,0,0,0,745.0,3,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
539,9280.0,7,4,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,5000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12504175-2-bhk-apartment-in-sector-81-for-rs-5000000
",0,0,0,0,0,0,0,0,413.35655492235566,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
850,6470.0,7,3,0,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,5500000.0,2.0,3,"https://housing.com//in/buy/resale/page/12521381-3-bhk-apartment-in-sector-81-for-rs-5500000
",0,0,0,0,0,0,0,0,750.0,1,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
650,8620.0,6,4,1,3,"signature global synera, sector 81, gurgaon",Signature Global Synera,5600000.0,2.0,3,"https://housing.com//in/buy/resale/page/12507874-3-bhk-apartment-in-sector-81-for-rs-5600000
",0,0,0,0,0,0,0,0,511.8364139323446,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1260,4760.0,8,5,1,2,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,6000000.0,2.0,2,"https://housing.com//in/buy/resale/page/11598589-2-bhk-apartment-in-sector-81-for-rs-5700000
",0,0,0,0,0,0,0,1,966.2880504678444,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1225,4900.0,12,7,1,2,"vipul lavanya society , sector 81, gurgaon",Vipul lavanya society ,6000000.0,2.0,2,"https://housing.com//in/buy/resale/page/9297762-2-bhk-apartment-in-sector-81-for-rs-6000000
",1,0,0,0,0,0,0,0,939.4467157326264,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1225,4980.0,6,5,1,2,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,6100000.0,2.0,2,"https://housing.com//in/buy/resale/page/12037554-2-bhk-apartment-in-sector-81-for-rs-6100000
",0,0,0,0,0,1,0,0,1000.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1257,4930.0,7,7,1,2,"vipul lavanya , sector 81, gurgaon",vipul lavanya ,6200000.0,2.0,2,"https://housing.com//in/buy/resale/page/12410947-2-bhk-apartment-in-sector-81-for-rs-6200000
",0,1,0,0,0,0,0,0,963.9873646333972,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1285,4980.0,13,0,1,2,"sector 81, gurgaon",,6400000.0,2.0,0,"https://housing.com//in/buy/resale/page/12358269-2-bhk-apartment-in-sector-81-for-rs-6400000
",0,0,0,0,0,0,0,0,985.4604324215716,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1225,5220.0,7,8,1,2,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,6400000.0,2.0,2,"https://housing.com//in/buy/resale/page/11149285-2-bhk-apartment-in-sector-81-for-rs-6400000
",0,0,0,0,0,0,0,0,1225.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1225,5310.0,12,7,1,2,"vipul lavanya apartment, sector 81, gurgaon",Vipul Lavanya apartment,6500000.0,2.0,2,"https://housing.com//in/buy/resale/page/12632189-2-bhk-apartment-in-sector-81-for-rs-6500000
",0,1,0,0,0,0,0,0,830.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1225,5310.0,7,7,1,2,"vipul lavanya, sector 81, gurgaon",Vipul Lavanya,6500000.0,2.0,2,"https://housing.com//in/buy/resale/page/12675168-2-bhk-apartment-in-sector-81-for-rs-6500000
",0,1,0,0,0,0,0,0,830.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
930,7200.0,3,0,0,2,"signature global city 81, sector 81, gurgaon",Signature Global City 81,6700000.0,2.0,2,"https://housing.com//in/buy/resale/page/9732023-2-bhk-apartment-in-sector-81-for-rs-6700000
",0,0,1,0,0,0,0,0,820.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
955,7220.0,2,0,1,2,"signature global city 81, sector 81, gurgaon",Signature Global City 81,6900000.0,2.0,2,"https://housing.com//in/buy/resale/page/9626899-2-bhk-apartment-in-sector-81-for-rs-6900000
",0,1,0,0,0,0,0,0,800.0,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1780,4040.0,3,1,1,3,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,7200000.0,3.0,3,"https://housing.com//in/buy/resale/page/11925578-3-bhk-apartment-in-sector-81-for-rs-7200000
",1,0,0,0,0,0,0,0,1600.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
955,7640.0,3,0,0,2,"signature global city 81, sector 81, gurgaon",Signature Global City 81,7300000.0,2.0,2,"https://housing.com//in/buy/resale/page/9520680-2-bhk-apartment-in-sector-81-for-rs-7300000
",1,0,0,0,0,0,0,0,739.7945152951547,0,2,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1782,4150.0,13,2,1,3,"vipul lavanya apartments tower 2 and 3, sector 81, gurgaon",Vipul Lavanya Apartments Tower 2 And 3,7400000.0,3.0,3,"https://housing.com//in/buy/resale/page/11206486-3-bhk-apartment-in-sector-81-for-rs-7000000
",0,0,0,0,0,0,0,0,1600.0,0,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
955,8380.0,2,0,0,2,"signature global city 81, sector 81, gurgaon",Signature Global City 81,8000000.0,2.0,0,"https://housing.com//in/buy/resale/page/12560142-2-bhk-apartment-in-sector-81-for-rs-8000000
",1,0,0,0,0,0,0,0,565.0,0,0,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1560,5130.0,3,7,1,3,"vipul lavanya, sector 81, gurgaon",Vipul Lavanya,8000000.0,3.0,3,"https://housing.com//in/buy/resale/page/12675123-3-bhk-apartment-in-sector-81-for-rs-8000000
",0,0,0,0,1,0,0,0,1184.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1292,6190.0,3,0,1,2,"signature global synera, sector 81, gurgaon",Signature Global Synera,8000000.0,2.0,2,"https://housing.com//in/buy/resale/page/12543567-2-bhk-apartment-in-sector-81-for-rs-8000000
",0,0,1,0,0,0,0,0,1023.0,0,1,1,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
955,8900.0,3,1,1,2,"signature global city 81 phase 2, sector 81, gurgaon",Signature Global City 81 Phase 2,8500000.0,2.0,2,"https://housing.com//in/buy/resale/page/12420832-2-bhk-apartment-in-sector-81-for-rs-8500000
",0,1,0,0,0,0,0,0,732.3849906323742,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
920,9350.0,3,0,1,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,8600000.0,2.0,3,"https://housing.com//in/buy/resale/page/9732143-3-bhk-apartment-in-sector-81-for-rs-8600000
",0,0,1,0,0,0,0,0,840.0,1,1,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
1095,8000.0,2,0,1,3,"signature global city 81, sector 81, gurgaon",Signature Global City 81,8760000.0,3.0,3,"https://housing.com//in/buy/resale/page/9626727-3-bhk-apartment-in-sector-81-for-rs-8760000
",1,0,0,0,0,0,0,0,862.247497316796,0,3,0,sector 81,"28.3867° N, 76.9485° E",28.3867,76.9485
