build_up_area,avg._price,floor,age_of_property,furnishing,bhk,link,possession_status,sector,parking,latitude,longitude
420,0.761,11,2,0,1,"https://housing.com//in/buy/resale/page/12002011-1-rk-apartment-in-sector-81-for-rs-320000
",0,81,1,28.3867,76.9485
540,1.3,1,0,1,1,"https://housing.com//in/buy/resale/page/2766012-1-bhk-apartment-in-sector-57-for-rs-700000-v2
",0,57,2,28.4232,77.0752
540,1.3,1,0,1,1,"https://housing.com//in/buy/resale/page/4726591-1-bhk-apartment-in-sector-49-for-rs-700000-v2
",0,49,3,28.4121,77.048
200,3.5,3,10,2,1,"https://housing.com//in/buy/resale/page/12346356-1-bhk-apartment-in-sector-81-for-rs-700000
",0,81,3,28.3867,76.9485
540,1.3,1,0,1,1,"https://housing.com//in/buy/resale/page/4925046-1-bhk-apartment-in-sector-49-for-rs-700000
",0,49,3,28.4121,77.048
540,1.3,1,0,1,1,"https://housing.com//in/buy/resale/page/4715667-1-bhk-apartment-in-sector-49-for-rs-700000-v2
",0,49,3,28.4121,77.048
230,3.04,1,5,1,1,"https://housing.com//in/buy/resale/page/12445633-1-rk-apartment-in-sector-109-for-rs-700000
",0,109,1,28.5073,77.0089
300,2.33,5,4,0,1,"https://housing.com//in/buy/resale/page/12444984-1-rk-apartment-in-sector-103-for-rs-700000
",0,103,2,28.4949,76.9845
250,3.0,6,1,1,1,"https://housing.com//in/buy/resale/page/12291769-1-rk-apartment-in-sector-77-for-rs-750000
",0,77,1,28.3801,76.9845
300,2.5,7,0,1,1,"https://housing.com//in/buy/resale/page/11137418-1-rk-apartment-in-sector-77-for-rs-750000
",0,77,0,28.3801,76.9845
230,3.26,1,1,0,1,"https://housing.com//in/buy/resale/page/12525288-1-rk-apartment-in-sector-37d-for-rs-750000
",0,37d,1,28.4478,76.9703
210,4.05,6,1,1,1,https://housing.com//in/buy/resale/page/10056721-1-rk-apartment-in-sector-77-for-rs-850000,0,77,0,28.3801,76.9845
275,3.09,6,1,0,1,"https://housing.com//in/buy/resale/page/12718385-1-rk-apartment-in-sector-77-for-rs-850000
",0,77,2,28.3801,76.9845
450,2.0,7,1,1,1,"https://housing.com//in/buy/resale/page/12640928-1-rk-apartment-in-sector-77-for-rs-900000
",0,77,2,28.3801,76.9845
200,4.5,1,5,0,1,"https://housing.com//in/buy/resale/page/12553602-1-rk-apartment-in-sector-77-for-rs-900000
",0,77,1,28.3801,76.9845
220,4.09,3,0,0,1,"https://housing.com//in/buy/resale/page/8834066-1-rk-apartment-in-sector-102-for-rs-900000-v3
",0,102,0,28.475,76.9715
220,4.32,1,0,0,1,"https://housing.com//in/buy/resale/page/10750445-1-rk-apartment-in-sector-34-for-rs-950000
",0,34,0,28.4294,77.0048
198,4.9,4,2,0,1,"https://housing.com//in/buy/resale/page/9398471-1-rk-apartment-in-sector-84-for-rs-970000
",0,84,1,28.3979,76.9736
540,1.85,1,0,1,1,"https://housing.com//in/buy/resale/page/5621449-1-bhk-apartment-in-sector-67-for-rs-1000000-v2
",0,67,3,28.3859,77.0608
540,1.85,1,4,1,1,"https://housing.com//in/buy/resale/page/5585195-1-bhk-apartment-in-sector-33-for-rs-1000000
",0,33,2,28.442,77.0207
540,1.85,1,3,1,1,"https://housing.com//in/buy/resale/page/3096529-1-bhk-apartment-in-sector-33-for-rs-1000000-v2
",0,33,0,28.442,77.0207
250,4.0,5,5,0,1,"https://housing.com//in/buy/resale/page/10958564-1-bhk-apartment-in-sector-83-for-rs-1000000
",0,83,1,28.3986,76.9647
540,1.85,1,2,1,1,"https://housing.com//in/buy/resale/page/3317025-1-bhk-apartment-in-sector-33-for-rs-1000000
",0,33,2,28.442,77.0207
540,1.85,2,2,1,1,"https://housing.com//in/buy/resale/page/2866034-1-bhk-apartment-in-sector-33-for-rs-1000000-v2
",0,33,2,28.442,77.0207
540,1.85,1,0,1,1,"https://housing.com//in/buy/resale/page/2830140-1-bhk-apartment-in-sector-33-for-rs-1000000-v2
",0,33,0,28.442,77.0207
540,1.85,1,3,1,1,"https://housing.com//in/buy/resale/page/3390066-1-bhk-apartment-in-sector-33-for-rs-1000000
",0,33,2,28.442,77.0207
200,5.0,3,4,1,1,"https://housing.com//in/buy/resale/page/12314278-1-rk-apartment-in-sector-102-for-rs-1000000
",0,102,2,28.475,76.9715
200,5.0,1,5,1,1,"https://housing.com//in/buy/resale/page/12551603-1-rk-apartment-in-sector-84-for-rs-1000000
",0,84,1,28.3979,76.9736
200,5.0,3,5,0,1,"https://housing.com//in/buy/resale/page/11758590-1-rk-apartment-in-sector-67-for-rs-1000000
",0,67,1,28.3859,77.0608
198,5.05,1,2,0,1,"https://housing.com//in/buy/resale/page/9398497-1-rk-apartment-in-sector-84-for-rs-1000000
",0,84,1,28.3979,76.9736
230,4.35,2,0,1,1,"https://housing.com//in/buy/resale/page/12534516-1-rk-apartment-in-sector-93-for-rs-1000000
",0,93,0,28.4153,76.9326
200,5.0,3,0,1,1,"https://housing.com//in/buy/resale/page/12425953-1-rk-apartment-in-sector-67-for-rs-1000000
",0,67,0,28.3859,77.0608
200,5.05,5,5,1,1,"https://housing.com//in/buy/resale/page/12345421-1-rk-apartment-in-sector-102-for-rs-1010000
",0,102,2,28.475,76.9715
198,5.18,1,5,0,1,"https://housing.com//in/buy/resale/page/9398262-1-rk-apartment-in-sector-82a-for-rs-1025000
",0,82a,2,28.3858,76.9686
440,2.39,2,0,0,1,"https://housing.com//in/buy/resale/page/12172934-1-bhk-apartment-in-sector-91-for-rs-1050000
",0,91,0,28.4014,76.9225
540,1.94,2,1,0,1,"https://housing.com//in/buy/resale/page/9209665-1-bhk-apartment-in-sector-92-for-rs-1050000
",0,92,1,28.4079,76.9153
198,5.3,4,1,0,1,"https://housing.com//in/buy/resale/page/9397094-1-rk-apartment-in-sector-84-for-rs-1050000
",0,84,1,28.3979,76.9736
540,2.04,1,0,1,1,"https://housing.com//in/buy/resale/page/5191873-1-bhk-apartment-in-sector-49-for-rs-1100000
",0,49,0,28.4121,77.048
540,2.04,1,0,1,1,"https://housing.com//in/buy/resale/page/3204414-1-bhk-apartment-in-sector-57-for-rs-1100000-v2
",0,57,2,28.4232,77.0752
540,2.04,1,0,1,1,"https://housing.com//in/buy/resale/page/3368126-1-bhk-apartment-in-sector-49-for-rs-1100000-v2
",0,49,1,28.4121,77.048
300,3.67,2,2,2,1,"https://housing.com//in/buy/resale/page/12713897-1-rk-apartment-in-sector-102-for-rs-1100000
",0,102,2,28.475,76.9715
540,2.13,2,0,0,1,"https://housing.com//in/buy/resale/page/2910538-1-bhk-apartment-in-sector-57-for-rs-1150000-v2
",0,57,0,28.4232,77.0752
540,2.22,1,3,1,1,"https://housing.com//in/buy/resale/page/3505440-1-bhk-apartment-in-sector-47-for-rs-1200000
",0,47,0,28.4276,77.0492
540,2.22,1,4,1,1,"https://housing.com//in/buy/resale/page/4832239-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,3,28.4232,77.0752
540,2.22,1,4,1,1,"https://housing.com//in/buy/resale/page/4861372-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,3,28.4232,77.0752
540,2.22,1,4,1,1,"https://housing.com//in/buy/resale/page/3096562-1-bhk-apartment-in-sector-47-for-rs-1200000
",0,47,2,28.4276,77.0492
540,2.22,1,4,1,1,"https://housing.com//in/buy/resale/page/4965013-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,2,28.4232,77.0752
520,2.31,1,2,1,1,"https://housing.com//in/buy/resale/page/3200067-1-bhk-apartment-in-sector-33-for-rs-1200000-v2
",0,33,1,28.442,77.0207
540,2.22,1,2,1,1,"https://housing.com//in/buy/resale/page/2505605-1-bhk-apartment-in-sector-57-for-rs-1200000-v2
",0,57,1,28.4232,77.0752
540,2.22,1,4,1,1,"https://housing.com//in/buy/resale/page/4925111-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,3,28.4232,77.0752
540,2.22,1,3,1,1,"https://housing.com//in/buy/resale/page/5621409-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,3,28.4232,77.0752
540,2.22,2,3,1,1,"https://housing.com//in/buy/resale/page/3243179-1-bhk-apartment-in-sector-57-for-rs-1200000-v2
",0,57,1,28.4232,77.0752
540,2.22,1,3,1,1,"https://housing.com//in/buy/resale/page/4723618-1-bhk-apartment-in-sector-57-for-rs-1200000
",0,57,3,28.4232,77.0752
280,4.64,2,5,1,1,"https://housing.com//in/buy/resale/page/12605937-1-rk-apartment-in-sector-66-for-rs-1300000
",0,66,1,28.3925,77.0541
540,2.41,1,4,1,1,"https://housing.com//in/buy/resale/page/4925110-1-bhk-apartment-in-sector-57-for-rs-1300000
",0,57,3,28.4232,77.0752
250,6.0,1,4,2,1,"https://housing.com//in/buy/resale/page/12422108-1-rk-apartment-in-sector-66-for-rs-1500000
",0,66,1,28.3925,77.0541
